,page,country,rev_id,predictions,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
1932,Juan Ángel Almendares Bonilla,Hondura,711170881,Stub,,,,,,,left_only
1956,Trifun Kostovski,Macedonia,711339559,Start,,,,,,,left_only
1977,Washington Malianga,Rhodesian,711506001,Stub,,,,,,,left_only
1989,Josef Barák,Czech Republic,711675761,Stub,,,,,,,left_only
2071,Ronald Snapper,Rhodesian,712233907,Stub,,,,,,,left_only
2074,Rogerio Lobato,East Timorese,712249441,Start,,,,,,,left_only
2106,Antonín Švehla,Czech Republic,712426548,Stub,,,,,,,left_only
2172,Peter Waterworth,Montserratian,712713704,Stub,,,,,,,left_only
2280,Pierre Djédji Amondji,Ivorian,713176326,Stub,,,,,,,left_only
2283,Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149,Stub,,,,,,,left_only
2285,Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718,Stub,,,,,,,left_only
2375,Kisula Ngoy,"Congo, Dem. Rep. of",713583472,Stub,,,,,,,left_only
2396,Jakob Marzel Sternberger,Czech Republic,713698544,Stub,,,,,,,left_only
2401,Ivan Hribar,Carniolan,713766077,C,,,,,,,left_only
2458,Andrias Christian Evensen,Faroese,714088539,Start,,,,,,,left_only
2466,Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941,Stub,,,,,,,left_only
2472,Alois Anderka,Czech Republic,714174726,Stub,,,,,,,left_only
2477,Auguste Denise,Ivorian,714183793,Stub,,,,,,,left_only
2481,Philippe Yacé,Ivorian,714200423,Stub,,,,,,,left_only
2490,Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527,Start,,,,,,,left_only
2496,Laauli Leuatea Polataivao,Samoan,714244543,Stub,,,,,,,left_only
2499,José Félix Quirós,Salvadoran,714256648,Stub,,,,,,,left_only
2510,Dimitar Dimitrov (writer),Macedonia,714327408,Start,,,,,,,left_only
2653,Jean-Baptiste Mockey,Ivorian,714822110,Stub,,,,,,,left_only
2769,Joseph Orpen,Cape Colony,715016315,C,,,,,,,left_only
2831,Hákun Djurhuus,Faroese,715330944,Stub,,,,,,,left_only
2839,Oscar Kilgore,Hondura,715365023,Stub,,,,,,,left_only
2882,Ivan Dejmal,Czech Republic,715467197,Start,,,,,,,left_only
2890,Jógvan Justinusson,Faroese,715490721,Stub,,,,,,,left_only
2952,Franz Macoun,Czech Republic,715640391,Stub,,,,,,,left_only
2958,Jagnula Kunovska,Macedonia,715648720,Start,,,,,,,left_only
3014,Edgar Allen Christian,Pitcairn Islands,715823848,Stub,,,,,,,left_only
3015,Frederick Martin Christian,Pitcairn Islands,715823876,Stub,,,,,,,left_only
3016,John Lorenzo Christian,Pitcairn Islands,715823908,Stub,,,,,,,left_only
3090,Andrass Samuelsen,Faroese,716137698,Stub,,,,,,,left_only
3109,Kim Seung-kew,South Korean,716323288,Stub,,,,,,,left_only
3112,Joseph Lambert Eustace,Saint Vincent and the Grenadines,716335437,Start,,,,,,,left_only
3117,Len Ishmael,Saint Lucian,716376965,Stub,,,,,,,left_only
3136,Gregor Žerjav,Carniolan,716507073,Start,,,,,,,left_only
3153,Karel Dežman,Carniolan,716574519,C,,,,,,,left_only
3194,Willem Cornelis Janse van Rensburg,South African Republic,716703178,Start,,,,,,,left_only
3198,Karel Urbánek,Czech Republic,716711851,Stub,,,,,,,left_only
3254,Roberto Flores Bermúdez,Hondura,716882219,Stub,,,,,,,left_only
3303,Stanislav Kochiev,South Ossetian,717215546,Start,,,,,,,left_only
3307,Valeriy Hubulov,South Ossetian,717241760,Start,,,,,,,left_only
3315,Benjamin Stanley Young,Pitcairn Islands,717259837,Stub,,,,,,,left_only
3322,Edward Quintal,Pitcairn Islands,717338734,Stub,,,,,,,left_only
3323,Arthur Quintal I,Pitcairn Islands,717340951,Stub,,,,,,,left_only
3324,Fletcher Christian II,Pitcairn Islands,717340996,Stub,,,,,,,left_only
3325,Moses Young,Pitcairn Islands,717341064,Stub,,,,,,,left_only
3336,Matthew McCoy (Magistrate),Pitcairn Islands,717345596,Stub,,,,,,,left_only
3337,Arthur Quintal II,Pitcairn Islands,717346443,Stub,,,,,,,left_only
3355,Josip Vilfan,Carniolan,717350390,B,,,,,,,left_only
3356,Charles Christian II,Pitcairn Islands,717350782,Stub,,,,,,,left_only
3401,Seo Young-kyo,South Korean,717405394,Start,,,,,,,left_only
3406,Vladimír Klokočka,Czech Republic,717429365,Start,,,,,,,left_only
3408,To’alepaiali’i Toeolesulusulu Salesa III,Samoan,717442173,Stub,,,,,,,left_only
